TransactionAmount,BankName,BIN,Location,DeviceID,Timestamp,IsFraud
44.12,Bank of America,430000,West Gary,device_34,2025-04-04 17:22:41,0
32.98,Citibank,420000,Jonesborough,device_55,2025-03-23 10:37:53,0
78.24,Capital One,430000,Mcgeeview,device_20,2025-03-29 14:21:11,0
15.19,Chase,400000,Kramerstad,device_75,2025-05-14 07:13:03,0
162.05,Bank of America,420000,Port Kaitlin,device_8,2025-05-06 17:07:57,0
7.75,Citibank,440000,West Miguel,device_68,2025-05-16 07:04:12,0
433.41,Capital One,400000,South Olivia,device_24,2025-01-17 21:45:06,0
147.95,Bank of America,410000,Lake Renee,device_52,2025-05-09 02:57:04,0
22.15,Capital One,410000,Port Anthonyshire,device_75,2025-04-07 20:41:55,0
0.55,Capital One,400000,North Briannaburgh,device_54,2025-01-05 02:49:49,0
168.99,Capital One,440000,West Noah,device_41,2025-05-14 14:06:14,0
122.71,Chase,420000,Greenport,device_31,2025-04-16 19:41:17,0
130.57,Chase,420000,Smithchester,device_59,2025-05-08 16:24:29,0
147.52,Bank of America,400000,Howardburgh,device_59,2025-03-31 17:55:19,0
7.69,Capital One,400000,East Jameschester,device_10,2025-03-29 15:34:59,0
44.39,Capital One,420000,North Michael,device_17,2025-03-04 18:09:46,0
12.32,Bank of America,410000,Martinmouth,device_48,2025-05-10 22:17:25,0
198.85,Citibank,440000,North Christopher,device_91,2025-04-28 10:29:29,0
97.63,Capital One,400000,New Katiefurt,device_86,2025-03-07 06:35:26,0
40.18,Wells Fargo,400000,Rosalesville,device_18,2025-03-20 11:57:14,0
6.57,Bank of America,440000,Richardchester,device_20,2025-02-14 09:26:30,0
37.25,Capital One,410000,Reyesland,device_92,2025-04-30 09:23:19,0
39.33,Wells Fargo,440000,Sanchezshire,device_63,2025-02-12 21:52:32,0
130.79,Bank of America,400000,Port Lauraton,device_82,2025-03-16 08:09:34,0
101.49,Wells Fargo,400000,Port Marc,device_1,2025-03-02 03:06:42,0
218.23,Chase,420000,West Amandaport,device_21,2025-05-22 14:27:33,0
63.91,Capital One,430000,Leeberg,device_3,2025-02-27 09:22:46,1
12.74,Chase,440000,Port Amyberg,device_5,2025-01-22 07:05:43,0
124.91,Capital One,440000,Johnport,device_19,2025-01-31 18:41:56,0
143.04,Bank of America,420000,Harrisside,device_47,2025-01-06 05:02:15,0
82.39,Bank of America,420000,Mcdowellville,device_27,2025-03-31 06:03:43,0
147.39,Bank of America,420000,Ryanmouth,device_100,2025-05-08 15:47:11,0
68.08,Citibank,440000,Gilmoreborough,device_96,2025-03-11 17:48:00,0
73.97,Chase,410000,Joefurt,device_23,2025-01-26 07:41:06,0
55.78,Bank of America,410000,Malonestad,device_95,2025-01-31 04:05:59,0
2.57,Citibank,410000,Bergerbury,device_35,2025-05-02 18:10:24,0
11.42,Bank of America,430000,South Eric,device_5,2025-02-19 16:23:06,0
3.19,Chase,410000,South Sarahburgh,device_59,2025-03-10 04:53:53,0
101.17,Chase,410000,Taylorville,device_4,2025-02-23 00:24:30,0
37.74,Citibank,420000,Port Ariel,device_36,2025-05-10 15:43:03,0
71.04,Wells Fargo,420000,Dannyfurt,device_83,2025-02-21 07:19:25,0
238.13,Capital One,420000,Alexisland,device_4,2025-03-11 23:24:15,0
28.67,Wells Fargo,410000,Vargasside,device_75,2025-03-21 12:51:46,0
52.83,Wells Fargo,400000,Josephfort,device_14,2025-03-18 06:07:53,0
140.87,Wells Fargo,420000,Hayeston,device_56,2025-01-29 02:41:30,0
25.98,Capital One,400000,New Nicole,device_50,2025-01-06 12:33:33,0
8.01,Chase,420000,New Robertshire,device_6,2025-02-14 18:19:06,0
34.21,Bank of America,440000,Wilsonchester,device_69,2025-02-15 04:15:34,0
17.58,Chase,420000,West Rhonda,device_56,2025-05-13 10:03:43,0
265.5,Wells Fargo,440000,Amberside,device_41,2025-03-07 00:58:06,0
165.09,Bank of America,420000,Lake Melvin,device_65,2025-01-12 18:40:18,0
100.35,Citibank,420000,West Stevenland,device_52,2025-05-04 03:51:58,0
205.15,Capital One,410000,New Jessicahaven,device_25,2025-01-25 11:06:27,0
162.8,Citibank,410000,Michaelburgh,device_79,2025-01-02 11:46:19,0
20.65,Citibank,440000,Ashleyshire,device_1,2025-01-10 21:16:00,0
223.08,Chase,430000,Wesleychester,device_75,2025-01-30 11:00:57,0
77.51,Wells Fargo,430000,Greenview,device_57,2025-04-19 22:17:01,0
164.73,Chase,440000,Khantown,device_61,2025-01-02 15:32:50,0
226.42,Chase,400000,New Austinmouth,device_37,2025-01-23 07:16:19,0
38.27,Capital One,420000,Austinport,device_12,2025-01-23 19:21:21,0
11.66,Chase,420000,Brianaburgh,device_29,2025-03-18 20:57:38,0
25.87,Chase,400000,Lake Miranda,device_6,2025-01-19 18:08:56,0
55.71,Citibank,440000,South Juan,device_99,2025-05-06 03:59:31,0
170.38,Citibank,440000,Phyllisside,device_25,2025-01-30 12:32:20,0
197.13,Citibank,430000,North Chloe,device_52,2025-04-08 16:08:33,0
0.7,Bank of America,400000,East Maria,device_100,2025-04-01 09:38:44,0
71.49,Chase,440000,South Lisa,device_60,2025-03-11 22:14:23,0
54.03,Chase,400000,South Donaldstad,device_59,2025-01-17 21:49:35,0
25.12,Citibank,440000,West Jeffrey,device_72,2025-03-21 01:24:30,0
12.77,Citibank,440000,Bushburgh,device_93,2025-05-11 22:14:25,0
41.19,Citibank,440000,Jeffreytown,device_58,2025-05-06 11:14:21,0
286.31,Citibank,430000,South Kevin,device_34,2025-04-06 04:25:57,0
39.04,Wells Fargo,440000,Hernandezmouth,device_63,2025-05-20 14:46:14,0
73.15,Wells Fargo,430000,Port Martinstad,device_10,2025-04-30 16:59:46,0
121.41,Chase,420000,Aaronton,device_43,2025-05-04 05:26:35,0
45.2,Capital One,400000,North Annaberg,device_18,2025-03-09 02:09:05,0
356.78,Citibank,410000,Lisaport,device_91,2025-04-03 08:09:58,0
328.2,Citibank,430000,East Lisa,device_43,2025-02-02 13:56:30,0
29.01,Citibank,400000,Port Meganmouth,device_27,2025-01-25 12:57:28,0
68.77,Citibank,440000,New Carolyn,device_90,2025-03-08 15:19:07,1
35.79,Capital One,430000,Cameronside,device_2,2025-03-30 19:21:18,1
33.52,Citibank,440000,Edwardmouth,device_96,2025-05-08 16:00:46,0
3.76,Capital One,410000,North Jeremy,device_63,2025-04-13 20:00:31,0
94.05,Citibank,430000,Lake Davidberg,device_4,2025-05-20 15:25:38,0
69.85,Citibank,410000,Hunterchester,device_60,2025-04-10 20:24:34,0
5.29,Capital One,440000,North Ashley,device_4,2025-04-20 16:53:37,0
32.66,Capital One,440000,Mccallborough,device_85,2025-04-03 15:17:23,1
238.89,Chase,430000,Jamiestad,device_24,2025-01-14 04:28:40,0
27.39,Citibank,420000,New Katelyn,device_28,2025-02-27 18:11:21,0
15.65,Wells Fargo,430000,Shannonborough,device_36,2025-02-04 12:10:14,0
67.23,Citibank,420000,East Christopher,device_11,2025-02-03 05:12:10,0
424.4,Capital One,400000,South Jamestown,device_45,2025-04-19 00:23:56,0
27.71,Bank of America,400000,Lake Tiffanymouth,device_1,2025-02-15 12:00:01,1
111.52,Capital One,410000,South Edwardtown,device_31,2025-01-01 03:13:20,0
143.39,Bank of America,440000,Port Brettbury,device_28,2025-04-14 07:25:37,0
27.13,Wells Fargo,420000,Frankville,device_22,2025-05-06 18:11:53,0
130.27,Bank of America,410000,Mendozamouth,device_40,2025-04-06 14:30:03,0
45.85,Bank of America,420000,South Craig,device_74,2025-03-24 12:53:07,0
100.05,Citibank,430000,Lake Jody,device_92,2025-01-10 04:54:51,0
100.38,Capital One,410000,Timothyshire,device_14,2025-03-26 11:26:11,0
76.74,Wells Fargo,440000,Port Jonathan,device_16,2025-03-01 19:36:04,0
9.46,Capital One,400000,South Joshua,device_45,2025-02-25 11:46:43,0
180.36,Wells Fargo,400000,Hartmantown,device_65,2025-01-09 09:28:30,0
38.68,Bank of America,430000,Jamesmouth,device_63,2025-02-18 12:12:37,0
20.64,Wells Fargo,430000,Sandrafurt,device_91,2025-03-31 01:09:30,0
4.16,Chase,440000,South Christophermouth,device_84,2025-01-03 06:40:24,0
89.38,Capital One,430000,Ginaburgh,device_60,2025-01-29 03:56:58,0
113.19,Capital One,420000,Williambury,device_42,2025-03-05 14:03:54,0
1.67,Bank of America,420000,North Sheryl,device_58,2025-03-26 10:45:23,0
71.76,Citibank,440000,Aprilton,device_79,2025-05-22 01:51:02,0
25.68,Wells Fargo,400000,Mitchellton,device_64,2025-01-03 06:34:29,0
103.61,Chase,430000,South Danielton,device_28,2025-04-30 07:20:08,0
19.16,Wells Fargo,420000,Dylanville,device_36,2025-02-16 10:53:52,0
117.42,Wells Fargo,440000,Jayton,device_2,2025-03-28 08:06:39,0
48.9,Chase,400000,Brighthaven,device_31,2025-02-17 16:41:29,0
276.03,Citibank,440000,South Frederick,device_98,2025-01-04 07:21:10,0
14.79,Citibank,430000,West Kylehaven,device_58,2025-01-12 13:52:15,0
41.71,Bank of America,420000,Juliahaven,device_29,2025-02-23 07:46:39,0
12.04,Chase,420000,Harrellville,device_85,2025-04-30 18:14:02,0
258.62,Citibank,440000,Erichaven,device_68,2025-01-03 13:38:33,0
209.83,Capital One,420000,Davishaven,device_46,2025-01-25 09:02:18,0
29.83,Wells Fargo,420000,West Heather,device_33,2025-01-14 02:38:50,0
107.88,Chase,420000,Latoyaberg,device_16,2025-02-21 18:44:24,0
169.95,Chase,410000,East Markbury,device_28,2025-03-30 14:09:50,0
81.01,Wells Fargo,440000,Port Martintown,device_98,2025-05-13 12:16:21,0
75.43,Wells Fargo,400000,West Alecview,device_25,2025-03-24 04:56:33,0
27.69,Wells Fargo,410000,East Pamela,device_39,2025-04-03 00:48:11,1
9.77,Wells Fargo,400000,South Tylerberg,device_7,2025-05-10 17:17:58,0
227.51,Chase,430000,East Brandon,device_14,2025-03-11 05:39:54,0
230.68,Capital One,420000,Lake Alexandraton,device_61,2025-01-21 09:46:18,0
100.27,Wells Fargo,410000,Danielmouth,device_7,2025-02-10 07:23:10,0
41.4,Citibank,400000,North Amandatown,device_9,2025-01-07 16:15:52,0
42.96,Bank of America,440000,Vincentbury,device_81,2025-04-02 09:45:27,0
129.45,Chase,410000,Joycetown,device_73,2025-05-22 08:14:51,0
227.41,Bank of America,410000,Stoneton,device_16,2025-04-09 12:24:23,0
218.11,Citibank,440000,New Sarahstad,device_77,2025-05-09 22:40:53,0
151.36,Chase,440000,Port Brittney,device_49,2025-05-14 18:27:28,0
102.73,Citibank,420000,East Ashleyland,device_76,2025-01-09 08:22:34,0
8.79,Wells Fargo,440000,New Nancyborough,device_80,2025-01-20 05:12:09,0
17.63,Bank of America,410000,North Lauren,device_81,2025-01-28 20:52:52,0
228.82,Bank of America,410000,Andrewfurt,device_31,2025-03-12 15:08:06,0
93.25,Bank of America,410000,Lake Danielle,device_1,2025-04-21 11:34:45,0
0.92,Capital One,430000,Lake Michael,device_2,2025-05-04 12:52:27,1
10.7,Citibank,400000,Manningshire,device_88,2025-04-22 17:28:52,0
108.92,Wells Fargo,440000,Cummingsshire,device_85,2025-02-27 20:37:01,0
0.51,Chase,430000,Keithmouth,device_15,2025-04-28 06:48:55,0
17.53,Chase,420000,Lake Patriciabury,device_19,2025-02-10 19:40:32,0
79.57,Chase,420000,Crystalside,device_77,2025-02-26 05:46:39,0
117.73,Capital One,420000,West Paulton,device_57,2025-05-14 04:47:12,0
105.54,Wells Fargo,430000,South Russellborough,device_35,2025-02-23 14:19:15,0
25.39,Citibank,430000,Justinberg,device_11,2025-05-06 22:41:53,0
124.54,Citibank,420000,East Joseph,device_78,2025-05-08 08:46:27,0
27.08,Bank of America,410000,Lake Sydney,device_87,2025-04-15 23:10:43,0
39.36,Capital One,440000,Rhodesside,device_3,2025-05-02 03:07:57,0
137.24,Wells Fargo,440000,Ramirezview,device_6,2025-05-20 17:34:51,0
104.88,Chase,430000,North Robert,device_67,2025-02-15 20:52:20,0
189.2,Wells Fargo,410000,West Christinefort,device_75,2025-03-21 00:08:06,0
107.18,Citibank,400000,South Brandonberg,device_61,2025-04-08 01:46:00,0
84.0,Wells Fargo,420000,Lake Bradley,device_86,2025-02-12 11:05:27,0
9.84,Chase,420000,Lake Amanda,device_53,2025-03-02 21:37:05,0
45.84,Wells Fargo,430000,Lake Jennifershire,device_98,2025-02-11 10:26:00,0
30.82,Citibank,400000,Nancyville,device_41,2025-05-14 08:26:38,0
27.97,Bank of America,430000,New Nicholasside,device_66,2025-01-13 16:37:10,0
361.23,Bank of America,440000,Leeton,device_60,2025-02-07 08:50:56,0
49.94,Chase,440000,Kellyville,device_47,2025-02-17 20:04:59,0
222.61,Citibank,430000,New Carrie,device_98,2025-01-28 07:58:22,0
99.73,Wells Fargo,440000,New Brandon,device_17,2025-01-23 11:45:51,0
158.38,Citibank,430000,Lake Alison,device_16,2025-04-21 21:42:46,1
69.84,Chase,410000,South Kevin,device_40,2025-05-22 14:48:01,0
86.02,Capital One,430000,Avilaview,device_12,2025-05-08 16:27:51,0
67.83,Bank of America,430000,West Brandonfurt,device_16,2025-02-19 14:20:56,0
21.72,Chase,430000,Jonesland,device_92,2025-04-06 04:41:13,0
128.18,Wells Fargo,430000,Blevinsport,device_62,2025-05-20 05:56:34,0
32.96,Chase,430000,West Phyllisview,device_71,2025-05-21 01:02:27,0
2.46,Chase,440000,Thomasbury,device_66,2025-03-13 08:37:08,0
103.7,Chase,400000,South Kathleenbury,device_36,2025-05-21 19:01:01,0
19.49,Citibank,420000,Lake Travis,device_65,2025-02-11 16:35:41,0
282.11,Bank of America,420000,New Pamelastad,device_93,2025-02-07 05:17:22,0
307.76,Capital One,440000,Margaretmouth,device_85,2025-01-13 13:37:40,0
246.35,Chase,430000,Port Trevor,device_69,2025-02-09 21:49:44,0
46.23,Wells Fargo,440000,Lisaville,device_98,2025-01-16 16:37:16,0
1.56,Citibank,420000,South Erinport,device_25,2025-05-07 08:55:56,0
263.55,Chase,440000,West Catherineborough,device_50,2025-03-17 00:49:11,0
55.89,Citibank,400000,Velazquezland,device_41,2025-05-09 18:32:40,0
340.08,Citibank,430000,North Brianborough,device_85,2025-03-26 13:57:03,0
331.37,Chase,430000,West Julieshire,device_5,2025-02-12 05:11:03,0
191.74,Capital One,420000,Billborough,device_13,2025-03-06 00:02:23,0
34.88,Citibank,400000,Kiaraport,device_68,2025-02-11 18:29:02,0
48.63,Bank of America,410000,Phillipsbury,device_53,2025-05-20 02:54:40,0
190.47,Chase,400000,New Vincent,device_61,2025-01-05 17:37:17,0
38.11,Wells Fargo,420000,Aliberg,device_80,2025-04-18 02:27:45,0
18.57,Bank of America,420000,North Patrickton,device_87,2025-02-08 16:38:31,0
81.37,Citibank,420000,East Maria,device_81,2025-05-06 10:46:04,0
275.13,Citibank,440000,Bushton,device_5,2025-01-14 04:03:23,0
119.08,Chase,420000,Hannahchester,device_30,2025-03-21 17:11:04,0
84.41,Citibank,400000,West Danielside,device_98,2025-03-14 21:44:11,0
10.22,Bank of America,430000,New Josephborough,device_22,2025-05-05 15:32:26,0
95.45,Bank of America,400000,East Elizabethberg,device_42,2025-03-09 17:44:51,0
461.06,Wells Fargo,420000,Tammyhaven,device_48,2025-03-01 16:38:08,0
15.09,Chase,440000,South Stacyfort,device_53,2025-01-09 13:49:45,0
73.05,Chase,410000,Deborahchester,device_23,2025-04-21 20:29:10,0
209.86,Citibank,440000,Lisashire,device_88,2025-04-22 12:40:18,0
135.0,Capital One,410000,Michaelberg,device_30,2025-01-24 00:56:52,0
119.41,Wells Fargo,430000,Lake Benjamin,device_33,2025-04-11 07:32:27,0
121.23,Citibank,420000,East Zachary,device_87,2025-03-27 03:36:18,0
44.55,Bank of America,430000,Lake Jennifer,device_45,2025-02-04 15:59:47,0
34.76,Wells Fargo,430000,Boothview,device_89,2025-01-05 02:29:25,0
165.74,Wells Fargo,410000,Sandraside,device_50,2025-01-25 09:45:00,0
166.13,Bank of America,410000,Mauriceshire,device_49,2025-05-06 15:48:49,0
201.8,Capital One,420000,West Angelahaven,device_90,2025-02-02 08:00:18,0
244.46,Citibank,420000,South Nancy,device_2,2025-03-31 13:26:24,0
71.61,Bank of America,440000,Michaelport,device_96,2025-02-22 20:20:38,0
69.62,Wells Fargo,410000,Trevorbury,device_78,2025-05-11 04:31:29,0
160.09,Chase,410000,West Michael,device_80,2025-05-16 11:13:11,0
104.97,Chase,400000,Lake Andrea,device_81,2025-02-19 21:40:13,0
121.06,Wells Fargo,430000,Port Chelseaton,device_5,2025-02-05 03:44:29,0
158.86,Chase,400000,Keithburgh,device_38,2025-05-23 05:18:32,0
220.73,Citibank,410000,Larrystad,device_26,2025-04-29 09:53:44,0
41.25,Capital One,420000,North Jasontown,device_68,2025-02-20 20:53:19,0
47.09,Wells Fargo,410000,North Stephanie,device_33,2025-03-28 09:24:06,0
9.87,Citibank,420000,Port Johnathantown,device_96,2025-03-23 03:53:06,0
86.34,Bank of America,430000,Smithburgh,device_10,2025-01-13 01:36:58,0
3.66,Chase,430000,Patriciamouth,device_72,2025-03-27 05:28:40,0
62.66,Citibank,400000,Williamshaven,device_34,2025-03-03 10:34:22,0
78.23,Citibank,420000,West Jameschester,device_87,2025-04-26 12:06:07,0
33.76,Wells Fargo,440000,Peterberg,device_49,2025-04-27 21:57:32,0
89.36,Wells Fargo,400000,Ryanville,device_87,2025-02-23 14:27:35,0
3.1,Bank of America,440000,North Michael,device_72,2025-01-01 04:50:07,0
3.81,Capital One,410000,Katherineville,device_83,2025-03-14 13:46:43,0
172.94,Citibank,420000,Nelsonville,device_84,2025-03-31 09:20:56,0
44.66,Chase,400000,North Allison,device_5,2025-02-04 20:45:52,0
13.59,Citibank,400000,Kellyville,device_13,2025-01-14 01:19:41,0
73.87,Capital One,410000,Hortonland,device_50,2025-02-03 20:26:57,0
146.96,Capital One,430000,Hubbardchester,device_76,2025-02-28 20:47:17,0
24.31,Chase,430000,South Benjamin,device_84,2025-01-08 12:21:11,0
97.52,Citibank,440000,Port Nicholas,device_53,2025-01-02 23:19:18,0
8.92,Wells Fargo,400000,Port Christopher,device_89,2025-03-03 05:33:43,0
5.31,Citibank,430000,Timothyfurt,device_31,2025-05-22 02:48:07,0
75.79,Bank of America,420000,South James,device_70,2025-04-04 14:31:10,0
77.79,Wells Fargo,400000,Mcneilfort,device_51,2025-02-11 02:52:21,0
101.45,Bank of America,430000,Saramouth,device_12,2025-01-20 03:10:37,0
129.5,Capital One,400000,South Cody,device_7,2025-01-31 05:40:09,0
372.36,Chase,410000,Jacksonshire,device_73,2025-05-11 03:53:50,0
72.63,Capital One,410000,East Jackson,device_76,2025-01-07 06:49:06,0
39.0,Chase,420000,North Shane,device_100,2025-03-29 20:16:15,0
158.57,Capital One,400000,Raymondbury,device_36,2025-03-17 11:43:52,0
31.59,Chase,410000,Dunlapberg,device_70,2025-01-11 07:03:44,0
57.8,Chase,400000,Smithtown,device_85,2025-04-09 06:52:44,0
8.17,Chase,400000,North Christinaberg,device_46,2025-02-27 20:33:39,0
2.57,Chase,440000,Port Caroline,device_1,2025-03-16 22:58:27,1
328.74,Citibank,440000,West Melissa,device_15,2025-05-12 01:35:13,0
180.78,Citibank,430000,Danielfort,device_100,2025-02-02 19:12:20,0
119.06,Capital One,400000,Kingport,device_58,2025-04-20 13:51:44,0
52.59,Capital One,400000,North Danieltown,device_94,2025-05-02 07:58:39,0
19.03,Capital One,420000,New Angelica,device_59,2025-02-05 01:31:03,0
17.01,Bank of America,400000,Port Edwardstad,device_62,2025-03-18 12:14:38,0
28.8,Citibank,400000,East Morganberg,device_63,2025-04-14 00:33:27,0
79.68,Citibank,400000,Lake Katherinemouth,device_11,2025-05-11 15:55:18,0
125.38,Chase,400000,New Emma,device_17,2025-04-27 04:53:47,0
107.94,Capital One,440000,East Eugene,device_92,2025-02-12 11:24:12,0
32.84,Capital One,440000,North Lori,device_38,2025-04-24 22:09:19,0
309.81,Capital One,430000,Lake Johnnyfort,device_13,2025-04-28 06:43:44,0
133.9,Bank of America,440000,Lake Stephanie,device_93,2025-02-05 06:51:24,0
80.82,Citibank,430000,North Alejandraborough,device_30,2025-04-25 06:13:55,0
94.6,Citibank,430000,North Melissafurt,device_54,2025-05-18 08:49:19,0
54.4,Wells Fargo,430000,Lake Anne,device_41,2025-03-01 13:35:00,0
28.47,Wells Fargo,410000,Robertborough,device_88,2025-03-05 07:35:36,0
44.0,Bank of America,400000,Port Jeffrey,device_11,2025-03-10 04:32:25,0
141.82,Bank of America,420000,Tanyafurt,device_17,2025-04-19 22:47:36,0
1.45,Capital One,440000,East Derrick,device_72,2025-03-24 11:18:54,0
12.34,Bank of America,430000,West Zacharyfort,device_46,2025-05-22 19:58:48,0
4.71,Citibank,400000,South Dawn,device_37,2025-02-12 21:48:25,0
4.16,Wells Fargo,400000,Alexandershire,device_74,2025-04-29 02:52:20,0
193.42,Chase,430000,Port Ashleyside,device_29,2025-01-22 00:49:23,0
121.62,Wells Fargo,440000,South Brandiview,device_48,2025-03-02 14:35:59,0
64.28,Wells Fargo,440000,New Dominicfurt,device_29,2025-03-18 00:48:53,0
10.3,Capital One,440000,North Victoriaton,device_79,2025-02-02 08:54:56,0
67.65,Capital One,400000,New Victoriaport,device_78,2025-01-30 11:59:36,0
64.15,Wells Fargo,400000,Port Sara,device_24,2025-04-09 00:15:02,0
19.02,Wells Fargo,420000,Lake Timothy,device_45,2025-03-24 18:11:45,1
56.89,Capital One,430000,Abigailberg,device_9,2025-03-20 04:32:38,0
50.83,Bank of America,400000,Bryanhaven,device_96,2025-02-05 05:47:32,0
95.67,Citibank,430000,West Anthonyberg,device_59,2025-01-28 13:49:06,0
100.81,Wells Fargo,420000,West Shawnview,device_93,2025-01-15 10:18:01,0
4.64,Capital One,440000,North Vernon,device_11,2025-01-23 15:10:32,0
46.94,Chase,410000,Hendersonburgh,device_97,2025-04-11 04:46:59,0
98.31,Bank of America,420000,North Patriciaberg,device_57,2025-05-14 14:44:25,0
69.94,Citibank,440000,Nelsonton,device_57,2025-01-04 07:55:10,0
194.13,Chase,440000,Rayton,device_15,2025-04-12 05:32:16,0
107.5,Bank of America,420000,Cookfort,device_87,2025-01-09 23:46:41,0
17.79,Citibank,440000,West Christina,device_86,2025-03-05 11:13:36,0
7.32,Chase,430000,Port Cristina,device_77,2025-01-27 17:59:28,0
102.84,Chase,420000,Frenchborough,device_28,2025-03-02 13:42:03,0
2.69,Wells Fargo,420000,West Julia,device_42,2025-02-22 12:51:55,0
88.13,Citibank,430000,Lake Amber,device_23,2025-04-15 18:11:44,0
281.73,Capital One,410000,Joneshaven,device_65,2025-01-24 18:03:19,0
85.68,Wells Fargo,400000,Stephenborough,device_51,2025-01-26 21:13:36,0
49.13,Bank of America,430000,New Ashlee,device_3,2025-02-16 21:34:07,0
103.08,Bank of America,420000,Joshuaburgh,device_74,2025-04-11 16:14:52,0
